Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
273,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
274,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
275,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
276,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
277,224.274,0.212696,20.4643,25.967,22.3187,12.3264,25.6832,10.3534,2.73209,
278,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
279,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
280,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
281,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
282,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
283,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
284,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
285,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
286,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
287,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
288,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
289,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
290,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
291,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
292,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
293,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
294,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
295,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
296,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
297,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
298,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
299,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
